نوع البطولة,الفريق الاول,النتيجة,الفريق الثاني, الوقت
تصفيات أمم إفريقيا,مالاوي,2 - 2,غينيا,16:00
تصفيات أمم إفريقيا,موزمبيق,3 - 2,بنين,16:00
تصفيات أمم إفريقيا,كوت ديفوار,1 - 0,ليسوتو,19:00
تصفيات أمم إفريقيا,موريتانيا,2 - 1,الجابون,19:00
تصفيات أمم إفريقيا,الكونغو الديمقراطية,2 - 0,السودان,19:00
تصفيات أمم إفريقيا,جزر القمر,1 - 1,زامبيا,22:00
تصفيات أمم إفريقيا,المغرب,- - -,ليبيريا,22:00
تصفيات أمم إفريقيا,السنغال,1 - 1,رواندا,22:00
تصفيات أمم أوروبا,إذربيجان,0 - 1,بلجيكا,16:00
تصفيات أمم أوروبا,أوكرانيا,1 - 1,إنجلترا,19:00
تصفيات أمم أوروبا,إستونيا,0 - 5,السويد,19:00
تصفيات أمم أوروبا,اندورا,0 - 0,بيلاروسيا,19:00
تصفيات أمم أوروبا,مقدونيا,1 - 1,إيطاليا,21:45
تصفيات أمم أوروبا,رومانيا,1 - 1,الكيان الصهيوني,21:45
تصفيات أمم أوروبا,كوسوفو,2 - 2,سويسرا,21:45
بطولة إفريقيا للكرة الطائرة للرجال,السنغال,3 - 0,بوروندي,13:00
بطولة إفريقيا للكرة الطائرة للرجال,الجزائر,3 - 0,رواندا,15:00
بطولة إفريقيا للكرة الطائرة للرجال,تونس‎,1 - 3,الكاميرون,17:00
بطولة إفريقيا للكرة الطائرة للرجال,غانا,3 - 1,تنزانيا,17:00
بطولة إفريقيا للكرة الطائرة للرجال,مالي,0 - 3,كينيا,17:00
بطولة إفريقيا للكرة الطائرة للرجال,المغرب,0 - 3,مصر,19:00
بطولة إفريقيا للكرة الطائرة للرجال,ليبيا,3 - 0,تشاد‎,21:00
كأس العالم لكرة السلة,إيطاليا,85 - 89,سلوفينيا,11:45
كأس العالم لكرة السلة,لاتفيا,98 - 63,ليتوانيا,15:30
تصفيات كأس العالم - أمريكا الجنوبية,أوروجواي,3 - 1,تشيلي,02:00
تصفيات كأس العالم - أمريكا الجنوبية,البرازيل,5 - 1,بوليفيا,03:45
الدوري البرتغالي,موريرنسي,2 - 3,سبورتينج براجا,20:00
مباريات ودية - منتخبات,اليــــابان,4 - 1,ألمانيا,21:45
